City,Latitude,Longitude
Campobasso,41.286853,14.464291
Genoa,44.404626,9.233059
Torino,45.091605,7.409583
Bologna,44.333567,11.049701
Campobasso,41.516235,14.665506
Perugia,43.268005,12.290219
Campobasso,41.634419,14.613006
Brindisi,40.583334,18.089963
Lucca,44.095023,10.299119
La Spezia,44.372011,9.545323
Novara,45.320636,8.350102
Lecce,40.643125,18.335058
Milano,45.366717,9.042755
Trapani,37.882946,12.544167
Lucca,44.008886,10.417781
Varese,45.830858,8.883055
Trento,46.069656,10.848823
Udine,45.83619,13.182187
Pavia,44.978461,9.26656
Udine,45.907786,13.004623
Genoa,44.43604,9.105164
Campobasso,41.653553,14.91367
Catanzaro,38.623867,16.365786
Pisa,43.932165,10.123947
Pisa,44.003241,10.175721
Firenze,44.026086,11.050187
Cremona,44.868376,9.751343
Bari,41.178573,16.688258
Bari,41.389474,16.629352
Terni,42.384399,12.660874
Foggia,41.341871,15.606992
Foggia,41.639862,15.255549
Udine,45.958379,13.069388
Pisa,43.808831,10.101932
Firenze,43.621782,11.295855
Lecce,40.609582,18.468284
Ravenna,44.245984,12.343136
Imperia,43.720057,8.089953
Cagliari,39.477279,8.864853
Imperia,43.756317,7.939202
Vicenza,45.834275,11.757645
Cremona,44.96397,9.865752
Brindisi,40.500005,17.837376
Treviso,45.790804,12.054683
Cremona,45.16975,9.964759
Mantova,44.905786,10.666263
Messina,38.460409,15.402554
Taranto,40.242791,17.48872
Parma,44.622299,10.303488
Modena,44.403048,11.083193
Trento,45.82877,11.007899
Trapani,38.02951,12.394155
Treviso,45.537708,12.44844
Firenze,44.061993,11.518968
Lecce,40.534978,18.199744
Verona,45.492139,10.973189
Cremona,44.879939,10.251738
Padova,45.476777,11.799407
Ancona,43.641193,13.671683
Savona,44.436916,8.320688
Imperia,43.8837,8.192874
Treviso,45.587197,11.978297
Trieste,45.827215,13.508054
Pisa,43.883198,10.484902
Pavia,45.021529,9.417032
Bologna,44.335987,11.227637
Cremona,45.112608,9.765985
Terni,42.28685,12.425473
Arezzo,43.201475,11.994495
Bologna,44.61912,11.493488
Genoa,44.32683,9.077136
Pordenone,45.72914,12.948303
Lucca,43.852825,10.340347
Lecce,40.574185,18.180101
Reggio Calabria,38.017261,15.815251
Taranto,40.509286,17.021475
Bolzano,46.199988,11.543125
Palermo,38.181396,13.567634
Firenze,43.508738,10.979598
Pavia,45.282836,8.961853
Imperia,43.817221,8.132592
Lecce,40.075956,18.404117
Parma,44.501592,10.151372
Cremona,45.273203,9.744485
Firenze,43.586323,11.099559
Novara,45.428326,8.883313
Parma,44.70463,10.535228
Catanzaro,38.905645,16.442154
Catanzaro,38.782825,16.459129
Brindisi,40.643962,18.222214
Ravenna,44.237974,12.199071
Messina,38.391508,15.345504
Trieste,45.778659,13.698632
Arezzo,43.498341,11.705324
Palermo,38.140585,13.552231
Savona,44.30817,8.521347
Torino,44.99909,7.419255
Foggia,41.718626,15.720708
Terni,42.682104,12.636253
Lecce,40.430016,18.100051
Napoli,41.109089,14.391419
Milano,45.725015,9.049895
Varese,45.67184,8.893904
La Spezia,43.949399,9.5792
Catania,37.66253,15.180157
Vicenza,45.466097,11.46448
Trapani,38.025687,12.642558
Ancona,43.61159,13.504629
Lucca,43.619151,10.331193
Verona,45.616931,10.867029
Palermo,38.288962,13.623975
Messina,38.044619,15.362155
Cremona,45.247556,10.202236
Cagliari,39.278312,9.119037
Bolzano,46.358411,11.518227
Torino,44.859994,7.668765
Padova,45.47869,11.791961
Modena,44.854481,10.887132
Messina,38.140672,15.590724
Catanzaro,38.63836,16.764345
Venezia,45.36279,12.039857
Reggio Calabria,38.250074,15.839813
Lecce,40.117082,17.943896
Pordenone,46.13836,12.952476
Genoa,44.691154,9.109699
Pordenone,45.710772,12.488667
Padova,45.399164,12.096535
Trieste,45.651799,14.026019
Milano,45.422801,9.125748
Campobasso,41.827496,14.579969
Messina,38.307126,15.672162
Palermo,38.095036,13.24727
Trento,46.132898,11.092378
Brindisi,40.554209,17.757916
Taranto,40.251431,17.191627
Arezzo,43.488887,11.932065
Bari,41.203193,16648
Cremona,45.066355,9.904137
Milano,45.617364,9.000062
Udine,46.236122,13.51231
Venezia,45.727019,12.48513
Udine,46.204125,13.438887
Ravenna,44.155058,12.079339
Catanzaro,38.816452,16.748662
Pordenone,45.783138,12.45639
Bolzano,46.527526,11.474026
Venezia,45.179664,12.576924
Siena,43.331193,11.155059
Torino,45.13141,7.875592
Reggio Calabria,38.365149,15.452444
Imperia,43.996127,8.108528
Taranto,40.360202,17.291472
Genoa,44.28968,9.074364
Trapani,38.242157,12.704224
Pavia,45.347863,9.22555
Parma,45.057041,10.096525
Perugia,42.88759,12.123117
Bari,41.0362,16.889556
Lucca,44.02901,10.522231
Pisa,43.457245,10.379815
Modena,44.527612,10.656186
Catanzaro,38.635307,16.37227
Cagliari,39.037137,9.320296
La Spezia,43.871878,9.608467
Modena,44.858928,10.670825
Torino,45.108794,7.598214
Messina,38.428796,15.770224
Trieste,45.43634,13.775365
Catania,37.252443,15.050879
Ancona,43.500395,13.651772
Torino,45.138018,7.503985
Bolzano,46.518323,11.36156
Foggia,41.322522,15.316766
Trieste,45.380387,13.518596
Catania,37.618592,15.204336
Reggio Calabria,38.118236,15.371772
Catanzaro,38.678542,16.872688
Torino,44.958881,7.700768
Lecce,40.409168,18.006491
Milano,45.569616,9.442239
Brindisi,40.447273,17.694043
Treviso,45.899911,12.125275
Cagliari,39.449075,9.227136
Potenza,40.39787,15.96992
Terni,42.310696,12.509269
Modena,44.90066,10.942823
Mantova,44.861558,10.675871
Padova,45.262978,11.731808
Potenza,40.850054,15.602142
Genoa,44.164648,9.011568
Catania,37.460615,15.155946
Pordenone,46.010632,12.828818
Firenze,43.664308,11.080697
Messina,37.941876,15.497539
Terni,42.733167,12.85658
Venezia,45.414486,12.122406
Palermo,38.283588,13.286191
Catanzaro,38.787175,16.628685
Pavia,44.904617,8.925607
Savona,44.445904,8.615352
Cremona,45.182419,10.090416
Cagliari,39.207904,8.88616
Lecce,40.646957,18.214034
Bolzano,46.376863,11.626459
Catanzaro,39.149081,16.44081
Messina,38.249512,15.581634
Reggio Calabria,38.127164,15.551097
Catanzaro,38.675984,16.493538
Bolzano,46.459159,11.631954
Messina,38.242131,15.529583
Brindisi,40.7861,18.156236
Lucca,44.126449,10.525737
Bari,41.309981,16.86725
Trento,46.047307,10.881669
La Spezia,44.332968,10.040448
Pavia,45.466793,9.09599
Perugia,42.860058,12.248374
Pisa,43.983738,10.339232
Bari,40.991994,16.832626
Savona,44.40409,8.707593
Campobasso,41.538364,14.861134
Catanzaro,38.974682,16.608233
Taranto,40.488824,16.996937
Lecce,40.307823,18.273007
Milano,45.625366,9.238131
Pavia,45.326052,9.052372
Terni,42.277589,12.800844
Parma,44.61747,10.533601
Pordenone,46.18008,12.863291
Cremona,45.053288,9.931303
La Spezia,43.809527,9.821319
Messina,38.186961,15.684969
Pordenone,46.203811,12.811687
Terni,42.284817,12.417696
Varese,45.921073,9.094954
Treviso,45.743159,12.211495
Savona,44.590188,8.29265
Reggio Calabria,38.188905,15.586761
Reggio Calabria,38.080632,15.786213
Taranto,40.233298,17.349007
Catania,37.636325,14.848575
Imperia,43.951391,8.193613
Taranto,40.294172,17.113231
Siena,43.282377,11.277642
Varese,45.769966,8.868617
Vicenza,45.419939,11.410855
Bari,41.380722,16.830491
Padova,45.366321,12.146134
Napoli,41.019113,14.53269
Firenze,43.558929,11.230505
Taranto,40.572729,16.949205
Parma,44.675519,10.534898
Terni,42.318722,12.426737
Messina,38.317659,15.445948
Modena,44.933063,10.653463
Pavia,45.046302,9.257691
Bologna,44.671929,11.419343
Treviso,45.509338,12.133758
Campobasso,41.435718,14.690621
Ancona,43.67138,13.451088
Torino,45.193543,7.81441
Trapani,37.978633,12.707843
Genoa,44.179422,8.760996
Udine,46.031107,13.054873
Genoa,44.137197,9.148715
Bologna,44.778402,11.441488
Palermo,37.859316,13.097159
Campobasso,41.30916,14.907807
Trento,46.033554,11.40359
Bologna,44.667457,11.11747
Terni,42.540356,12.874959
Arezzo,43.685024,12.162049
Campobasso,41.366678,14.675519
Palermo,37.894408,13.269605
Ancona,43.821267,13.332787
Palermo,38.227953,13.088872
Ancona,43.383292,13.613517
Bari,41.033789,16.919753
La Spezia,43.852513,9.881551
Novara,45.228049,8.433956
Bari,40.845327,16.908009
La Spezia,44.068719,9.634733
Udine,45.932828,13.291966
Vicenza,45.258583,11.38204
Pisa,43.547669,10.211177
Pisa,43.888504,10.262914
Novara,45.553474,8.742281
Brindisi,40.739286,18.156216
Novara,45.651217,8.428515
Trapani,37.727039,12.405834
Mantova,45.059559,10.752479
Milano,45.726597,9.362453
Modena,44.360295,11.198085
Trento,46.21618,10.982619
Napoli,41.056203,14.23905
Palermo,38.290806,13.425808
Arezzo,43.189203,11.692725
Lecce,40.487919,17.941889
Venezia,45.167398,12.557561
Novara,45.392658,8.366838
Trieste,45.650863,13.498489
Udine,46.069224,13.480425
Parma,45.011027,10.369284
Taranto,40.61827,17.41986
Torino,44.972587,7.673592
Campobasso,41.859624,14.423973
Vicenza,45.801277,11.746233
Modena,44.549915,10.73719
Savona,44.185182,8.585133
Napoli,40.679695,14.261815
Pavia,45.039026,9.213026
Pavia,45.111415,9.166953
Catanzaro,38.638707,16.833466
Firenze,43.826447,11.484974
Genoa,44.614642,9.053103
Parma,44.851631,10.257291
Lecce,40.174011,18.031502
Arezzo,43.248098,12.091978
Lecce,40.27513,17.880268
Foggia,41.605596,15.54337
Mantova,45.421926,10.888421
Torino,45.081626,7.641076
Pavia,45.363854,8.878325
Bari,41.409647,16.772341
Pavia,44.895427,9.258258
Firenze,43.788913,11.118417
Siena,43.238611,11.185457
Potenza,40.850104,15.652105
Varese,45.902317,9.08792
Catanzaro,39.182435,16.544705
Perugia,43.231701,12.681417
Pisa,43.900559,10.316551
Trieste,45.887647,13.655474
Mantova,44.952296,10.502955
Bolzano,46.232956,11.46397
Imperia,43.701479,8.099453
Arezzo,43.369891,11.818215
Bologna,44.406655,11.27618
Treviso,45.582907,12.512797
Venezia,45.631042,12.286984
Trieste,45.507155,13.953321
Trento,46.023683,11.296733
Parma,44.8042,10.420325
Foggia,41.650987,15.817956
Pordenone,45.657346,12.855001
Bari,40.993683,16.970412
Savona,44.41388,8.195155
Venezia,45.258782,12.484662
Padova,45.558716,11.712713
Trapani,38.138386,12.640523
Imperia,43.686796,8.077655
Bologna,44.256185,11.337468
Bari,41.290949,16.663706
Campobasso,41.554436,14.659697
Cremona,45.141657,10.238413
Modena,44.481703,10.861292
Napoli,40.766534,14.145525
Udine,46.130751,13.087556
Reggio Calabria,38.201687,15.489334
Arezzo,43.56262,11.741983
Messina,38.180794,15.687372
Lucca,43.902268,10.226352
Lucca,43.849191,10.372866
Modena,44.465671,10.892103
Lecce,40.595243,18.233217
Varese,46.030401,8.892329
Lecce,40.495919,18.155938
Savona,44.257127,8.637978
Palermo,37.958931,13.381525
Campobasso,41.539297,14.921439
Trento,45.817561,11.128483
Reggio Calabria,37.861481,15.669073
Cremona,44.965502,10.061243
Campobasso,41.854552,14.589141
Bolzano,46.353817,11.31896
Venezia,45.260911,12.218311
Cagliari,39.488299,8.953043
Bari,41.032872,16.632953
Modena,44.947083,10.659573
Lecce,40.649793,17.934841
Imperia,43.937864,8.179937
Cagliari,39.226651,9.289736
Pisa,43.494264,10.596581
Padova,45.363721,12.101535
Bolzano,46.393046,11.54866
Varese,46.024061,8.909941
Treviso,45.564926,12.527811
Potenza,40818,15.945035
Pavia,45.042843,9.139439
Messina,38.133159,15.624475
Firenze,43.868343,11.329524
Imperia,44.151504,7.99009
Mantova,45.051393,10.647665
Imperia,43.822731,7.823658
Lecce,40.308827,18.259539
Ancona,43.679371,13.780581
Catanzaro,38.778293,16.535861
Cagliari,39.44333,9.331841
Lucca,43.754464,10.436253
Pordenone,45.687103,12.787704
Imperia,43.952344,8.285789
Cremona,44.859723,9.90698
Perugia,42.928251,12.338109
Cagliari,39.401208,9.207987
Pordenone,46.221502,12.930668
Bari,41.371276,17.026753
Savona,44.036729,8.502395
Torino,45.043807,7.667632
Potenza,40.862992,15.659849
Pavia,44.912171,9.131011
Varese,46.018786,8.815747
Reggio Calabria,37.994288,15.497676
Trieste,45.767567,13.948854
La Spezia,43.837131,10.003595
Pisa,43.674239,10.209544
Ravenna,44.296834,12.02452
Siena,43.565097,11.053305
Genoa,44.672432,8.750268
Mantova,44.970484,10.797182
Catania,37.730181,15.302422
Milano,45.574771,9.212193
Arezzo,43.734643,11.675857
Bolzano,46.544988,11.442024
Bari,40.870813,16.760412
Firenze,43.613485,11.366824
Bari,40.889692,16.949035
Venezia,45.275392,12.567071
Novara,45.729797,8.449782
Potenza,40.820467,16.012272
Verona,45.429845,10.881462
Terni,42.696126,12.470043
Messina,38.01969,15.316751
Ancona,43.769734,13.658286
Lecce,40.475509,18.463231
Mantova,45.417518,10.962496
Udine,46.278413,13.297823
Reggio Calabria,38.266585,15.388038
La Spezia,44.103512,9.690218
Cremona,45.0646,10.104939
Catanzaro,39.183643,16.503074
Parma,45.087247,10.077263
Firenze,43.780191,11.21479
Brindisi,40.349684,17.758036
Ancona,43.410006,13.557818
Cagliari,39.189373,8.955817
Pavia,45.01502,9.120108
Napoli,40.885843,14.237944
Reggio Calabria,38.288634,15.635169
Siena,43.516307,11.092026
Cagliari,39.090477,9.342981
Catanzaro,38.69868,16.351144
Perugia,43.337817,12.552921
Torino,45.301028,7.850796
Trento,46.362539,10.927532
Lucca,43.586477,10.748213
Padova,45.268908,12.162595
Brindisi,40.838075,18.202791
Bari,41.223761,16.751031
Trento,46.012189,11.408368
Verona,45.407412,11.252331
Napoli,40.962121,14.452095
Treviso,45.38444,12.354157
Catanzaro,38.864666,16.572552
Verona,45.582848,10.948359
Savona,44.319326,8.469997
Terni,42.333875,12.632855
Pisa,43.820999,10.397633
Vicenza,45.38416,11.310154
Firenze,43.675565,11.014423
Trento,46.18996,11.259912
Ravenna,44.427113,11.929759
Ravenna,44.559252,11.935486
Cagliari,39.160752,9.383298
Foggia,41.583249,15.632849
Treviso,45.818962,12.491729
Terni,42.732673,12.837111
Imperia,43.90001,7.891306
Mantova,45.191705,10.675189
Pordenone,46.129331,12.562044
Firenze,43.479343,11.374753
Ancona,43.542262,13.252131
Parma,44.549044,10.500532
Modena,44.881226,10.881952
Novara,45.365814,8.677312
Trieste,45.694326,13.666092
Lucca,43.547113,10.517708
Imperia,43.891153,8.179488
Genoa,44.143324,9.026944
Udine,46.112541,13.033354
Lucca,44.001203,10.780654
Parma,44.608884,10.07516
Imperia,43.676482,7.899508
Padova,45.236172,12.174373
Parma,44.819455,10.605504
Firenze,43.786428,11.36895
Verona,45.552981,11.25761
Taranto,40.507258,17.40442
Padova,45.247546,11.888888
Padova,45.472669,11.644809
Savona,44.021189,8.498003
Varese,45.869104,9.09438
Pavia,45.194405,9.129095
Catanzaro,39.159067,16.703837
Pisa,43.447416,10.633368
Cremona,45.149758,9.76502
Novara,45.156098,8.662867
Reggio Calabria,38.147889,15.735179
Treviso,45.67101,12.013321
Novara,45.436993,8.625114
Milano,45.609712,8.937798
Verona,45.488949,11.018729
Lucca,44.023867,10.26963
Campobasso,41.79115,14.700965
Lecce,40.388895,18.172604
Novara,45.30719,8.339663
Udine,45.836286,12.997453
Firenze,43.9686,11.14688
Ravenna,44.431411,12.002523
Brindisi,40.764147,18.175491
Campobasso,41.748622,14.528943
Cagliari,39.473985,8.9268
Ravenna,44.693982,12.164701
Genoa,44.170532,9.055437
Napoli,40.837369,14.382015
Cremona,44.931318,9.784358
Vicenza,45.334685,11.729108
Padova,45.549599,12.001259
Campobasso,41.854022,14.775276
Parma,44.725525,10.138349
Torino,45.049794,7.643236
Brindisi,40.390004,17.937495
Treviso,45.390681,12.042979
Mantova,45.311586,11.012559
Trieste,45.606416,13.480834
Pordenone,45.878185,12.475972
Taranto,40.458815,17.415453
Verona,45.478759,10.723405
Reggio Calabria,38.358792,15.76209
Siena,43.023796,11.423909
Parma,44.935863,10.276165
Brindisi,40.507254,18.153866
Campobasso,41.333287,14.583785
Udine,45.978765,13.238169
Milano,45.307265,9.262034
Cagliari,39.399506,8.827985
Bolzano,46.455604,11.406854
Udine,45.973662,12.977325
Bolzano,46.290943,11.133569
Palermo,38.103827,13.104264
Ancona,43.368685,13.352285
Palermo,37.889043,13.179171
Torino,45.284326,7.677753
Terni,42.399603,12.749172
La Spezia,43.813764,9.939699
Milano,45.536137,9.18474
Pordenone,45.857214,12.428656
Cremona,45.073734,9.734532
Terni,42.318384,12.910683
Pavia,45.17867,9.013654
Varese,45.656418,8.883272
Terni,42.641958,12.916115
Ravenna,44.568318,12.290191
Genoa,44.338426,8.968559
Taranto,40.616323,17.333542
Venezia,45.487924,12.428622
Lucca,44.031491,10.748012
Campobasso,41.388643,14.56847
Savona,44.383077,8.725013
Venezia,45.729595,12.208266
Taranto,40.514524,17.326879
Messina,38.417303,15.812007
Messina,38.1908,15.335495
Trieste,45.833189,13.488755
Pisa,43.760078,10.654584
Ravenna,44.705022,12.031306
Potenza,40.472868,16.084931
Brindisi,40.537833,17.73802
Bologna,44.659021,11.237158
Siena,43.056897,11.330201
Firenze,43.99674,11.421894
La Spezia,44.038192,10.108884
Lecce,40.601256,18.396337
Campobasso,41.471319,14.488734
Terni,42.384419,12.63196
Lucca,44.11089,10.345993
Palermo,38.042632,13.468512
Varese,46.079141,8.682954
Lucca,43.580897,10.766175
Venezia,45.587682,12.292891
Cremona,45.165313,10.275894
La Spezia,44.148523,9.9447
Venezia,45.456842,12.358664
Bari,41.122701,16.723514
Bari,40.958324,16.65073
Padova,45.316069,11.971853
Foggia,41.706433,15.409706
Cagliari,39.361322,8.990189
Foggia,41.682647,15.411552
Pisa,43.725214,10.561416
Bolzano,46.276609,11.653462
Savona,44.027808,8.446363
Trieste,45.396575,13.80548
Genoa,44.638021,8.819773
Modena,44.742966,11.099313
Arezzo,43.51701,11.649732
Firenze,43.622094,11.411927
Lecce,40.326076,18.459978
Ravenna,44.573253,12.38997
Palermo,37.887949,13.259651
Perugia,42.869492,12.188803
Perugia,43.098647,12.442861
Parma,44.795941,10.37038
Pordenone,46.133314,12.770718
Catania,37.440616,15.091609
Bari,40.892764,16.761798
Udine,46.109711,13.250547
Catanzaro,38.768595,16.511594
Trento,45.956199,11.337507
Ancona,43.388809,13.769301
Pisa,43.929473,10.407474
Pordenone,46.182975,12.651434
Firenze,43.753823,11.51065
Udine,45.922922,13.094687
Vicenza,45.72783,11.551343
Verona,45.577791,10.712206
Pordenone,45.783812,12.689345
Novara,45.558657,8.683047
Lucca,43.827031,10.349294
La Spezia,44.140315,9.900842
Trieste,45.620699,13.480071
Treviso,45.751016,12.110143
Milano,45.355497,8.979005
Lecce,40.423119,18.144485
Cremona,45.359006,9.804535
Varese,46.038946,8.99092
Messina,38.354498,15.595489
Treviso,45.915649,11.967891
Cremona,44.904351,10.125221
Savona,44.109833,8.768511
Treviso,45.942406,12.26525
Imperia,44.138038,8.01767
Padova,45.283603,11.6353
Napoli,40.849816,14.447929
Bari,41.323244,16.909268
Brindisi,40.609047,18.061335
Siena,43.492299,11.451978
Verona,45.414703,11.226273
Ancona,43.898307,13.688425
Modena,44.860392,10.644171
