ID,sports,tvsports,exercise,dining,art,hiking,gaming,clubbing,reading,tv,theater,movies,music,shopping,yoga,sports_partner,tvsports_partner,exercise_partner,dining_partner,art_partner,hiking_partner,gaming_partner,clubbing_partner,reading_partner,tv_partner,theater_partner,movies_partner,music_partner,shopping_partner,yoga_partner,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,attractive,sincere,intelligence,funny,ambition,age,age_o,age_flag,age_radius,longitude,latitude,distance_km,interest_flag,gender,gender_text,gender_partner,gender_partner_him,gender_partner_her,gender_partner_them,gender_partner_text
11,7.0,3.0,6.0,8.0,2.0,6.0,4.0,7.0,2.0,8.0,7.0,8.0,8.0,9.0,3.0,4.0,3.0,7.0,5.0,3.0,2.0,2.0,7.0,2.0,5.0,6.0,4.0,4.0,7.0,4.0,3.0,2.0,3.0,2.0,2.0,7.0,2.0,6.0,6.0,7.0,23,23,1,55,9.011568,44.164648,70,0,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
12,7.0,4.0,5.0,6.0,5.0,6.0,3.0,6.0,3.0,2.0,5.0,6.0,6.0,3.0,3.0,7.0,3.0,4.0,6.0,5.0,6.0,3.0,6.0,2.0,2.0,5.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,8.0,26,23,1,25,17.918063,40.914788,80,1,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
13,7.0,3.0,2.0,7.0,6.0,6.0,4.0,7.0,5.0,5.0,6.0,5.0,6.0,7.0,3.0,3.0,8.0,4.0,5.0,6.0,4.0,4.0,3.0,7.0,7.0,3.0,2.0,6.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,6.0,8.0,6.0,7.0,30,26,1,19,17.494247,40.631125,60,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
14,4.0,2.0,2.0,6.0,6.0,6.0,3.0,6.0,7.0,8.0,7.0,8.0,7.0,7.0,4.0,3.0,2.0,2.0,6.0,7.0,6.0,3.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0,5.0,6.0,5.0,29,30,0,0,12.147838,44.231501,60,1,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
15,2.0,4.0,2.0,7.0,7.0,2.0,2.0,6.0,4.0,6.0,7.0,7.0,7.0,7.0,2.0,2.0,3.0,1.0,7.0,8.0,2.0,2.0,7.0,3.0,6.0,7.0,7.0,8.0,8.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,7.0,26,27,0,0,13.394901,45.799846,80,1,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
16,8.0,8.0,7.0,6.0,5.0,6.0,2.0,4.0,8.0,5.0,2.0,6.0,6.0,2.0,2.0,8.0,4.0,8.0,2.0,6.0,7.0,7.0,5.0,4.0,8.0,4.0,4.0,6.0,6.0,4.0,1.0,4.0,3.0,3.0,1.0,5.0,8.0,4.0,7.0,3.0,29,29,0,0,13.762458,45.909104,60,0,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
17,5.0,2.0,3.0,4.0,3.0,8.0,2.0,6.0,6.0,2.0,2.0,6.0,4.0,3.0,9.0,6.0,8.0,1.0,1.0,4.0,6.0,6.0,9.0,6.0,7.0,4.0,2.0,6.0,2.0,6.0,1.0,2.0,3.0,3.0,2.0,6.0,8.0,7.0,7.0,7.0,31,29,0,0,11.95947,45.89161,50,0,2,"she,her","[1.0, 1.0, 1.0]",1,1,1,"he,him,she,her,they,them"
18,5.0,4.0,6.0,2.0,2.0,8.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,6.0,2.0,2.0,6.0,4.0,6.0,2.0,2.0,3.0,7.0,8.0,5.0,2.0,7.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,4.0,8.0,1.0,6.0,3.0,25,23,1,60,9.085118,45.601938,60,0,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
19,8.0,9.0,7.0,7.0,8.0,6.0,4.0,3.0,7.0,6.0,7.0,5.0,6.0,4.0,3.0,8.0,8.0,7.0,7.0,8.0,6.0,4.0,3.0,7.0,6.0,7.0,5.0,7.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,6.0,7.0,7.0,7.0,7.0,27,35,0,0,12.68107,46.210588,80,1,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
20,8.0,6.0,6.0,7.0,6.0,7.0,4.0,7.0,6.0,5.0,6.0,7.0,6.0,6.0,4.0,8.0,6.0,6.0,6.0,7.0,7.0,4.0,8.0,6.0,5.0,6.0,7.0,7.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,6.0,5.0,6.0,27,28,0,0,10.099059,44.30153,100,1,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
21,4.0,4.0,6.0,7.0,7.0,2.0,3.0,6.0,7.0,3.0,6.0,8.0,8.0,6.0,2.0,6.0,2.0,8.0,5.0,6.0,6.0,6.0,8.0,4.0,7.0,6.0,6.0,6.0,6.0,4.0,2.0,2.0,2.0,3.0,2.0,7.0,6.0,7.0,7.0,4.0,23,30,0,0,10.629126,44.60892,0,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
22,7.0,2.0,8.0,7.0,7.0,6.0,2.0,2.0,8.0,3.0,7.0,7.0,7.0,5.0,2.0,2.0,5.0,4.0,1.0,4.0,5.0,4.0,4.0,2.0,8.0,3.0,2.0,4.0,6.0,4.0,2.0,3.0,3.0,2.0,2.0,7.0,8.0,8.0,6.0,5.0,33,27,1,40,10.772594,44.946653,100,0,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
23,9.0,4.0,8.0,7.0,6.0,8.0,3.0,6.0,7.0,2.0,7.0,7.0,8.0,4.0,4.0,9.0,3.0,8.0,6.0,7.0,8.0,3.0,7.0,6.0,2.0,7.0,7.0,9.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,7.0,8.0,7.0,6.0,7.0,25,27,0,0,11.57989,45.180821,40,1,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
24,7.0,3.0,6.0,8.0,2.0,6.0,4.0,7.0,2.0,8.0,7.0,8.0,8.0,9.0,3.0,7.0,2.0,6.0,8.0,3.0,6.0,4.0,8.0,2.0,8.0,7.0,8.0,9.0,9.0,3.0,3.0,2.0,3.0,2.0,2.0,7.0,2.0,6.0,6.0,7.0,23,22,1,74,12.122406,45.414486,0,1,2,"she,her","[1.0, 1.0, 1.0]",1,1,1,"he,him,she,her,they,them"
25,9.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0,4.0,9.0,7.0,8.0,8.0,7.0,6.0,5.0,4.0,8.0,7.0,6.0,2.0,7.0,6.0,1.0,7.0,7.0,4.0,3.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,7.0,7.0,5.0,7.0,29,25,1,48,9.804854,45.114471,30,0,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
26,8.0,8.0,6.0,7.0,8.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,3.0,6.0,5.0,4.0,6.0,4.0,8.0,7.0,6.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,8.0,22,23,0,0,10.59407,44.937253,80,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"he.him,she,her"
27,6.0,2.0,4.0,8.0,7.0,4.0,6.0,6.0,7.0,6.0,5.0,8.0,8.0,7.0,4.0,6.0,2.0,3.0,8.0,8.0,4.0,6.0,6.0,7.0,6.0,5.0,8.0,8.0,7.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,8.0,7.0,6.0,24,26,1,84,8.885649,45.142739,0,1,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
28,7.0,3.0,7.0,7.0,4.0,4.0,3.0,4.0,7.0,6.0,6.0,7.0,6.0,4.0,5.0,7.0,2.0,7.0,6.0,4.0,4.0,3.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,8.0,8.0,7.0,6.0,28,26,0,0,10.656374,43.488971,90,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
29,5.0,4.0,8.0,8.0,6.0,2.0,2.0,5.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0,5.0,3.0,8.0,8.0,7.0,2.0,2.0,5.0,7.0,6.0,6.0,4.0,7.0,7.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,6.0,7.0,6.0,8.0,22,27,0,0,10.05592,44.009204,70,1,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
30,4.0,4.0,8.0,8.0,4.0,7.0,5.0,8.0,6.0,6.0,5.0,7.0,6.0,7.0,5.0,3.0,8.0,1.0,1.0,2.0,6.0,3.0,9.0,6.0,6.0,7.0,4.0,8.0,6.0,6.0,2.0,2.0,3.0,3.0,2.0,4.0,6.0,7.0,6.0,3.0,23,26,0,0,7.917378,44.144638,30,0,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
31,8.0,5.0,6.0,7.0,5.0,5.0,3.0,7.0,5.0,2.0,6.0,6.0,7.0,4.0,5.0,8.0,5.0,6.0,2.0,4.0,6.0,5.0,9.0,2.0,8.0,7.0,6.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,1.0,6.0,8.0,8.0,5.0,6.0,27,27,0,0,14.265156,41.116002,0,0,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
32,5.0,4.0,7.0,7.0,8.0,6.0,2.0,4.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,5.0,4.0,7.0,6.0,8.0,6.0,2.0,4.0,7.0,7.0,7.0,7.0,9.0,7.0,6.0,2.0,2.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,8.0,26,36,0,0,15.673164,37.961834,60,1,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
33,6.0,7.0,8.0,5.0,6.0,4.0,3.0,6.0,5.0,5.0,6.0,6.0,7.0,8.0,2.0,6.0,7.0,8.0,5.0,6.0,4.0,3.0,6.0,5.0,5.0,6.0,6.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,5.0,5.0,5.0,26,22,0,0,12.071049,45.687766,30,1,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
34,4.0,4.0,3.0,7.0,6.0,6.0,3.0,8.0,4.0,5.0,4.0,7.0,8.0,7.0,4.0,3.0,3.0,3.0,6.0,7.0,6.0,3.0,8.0,4.0,5.0,4.0,7.0,9.0,7.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,6.0,7.0,7.0,27,30,1,41,8.900361,45.567218,10,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
35,2.0,4.0,5.0,7.0,6.0,2.0,4.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,5.0,8.0,6.0,2.0,6.0,6.0,3.0,3.0,3.0,6.0,2.0,5.0,5.0,6.0,2.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,8.0,7.0,8.0,26,27,1,68,13.388921,43.798288,80,0,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
36,7.0,2.0,8.0,7.0,8.0,3.0,2.0,8.0,7.0,2.0,7.0,8.0,8.0,5.0,5.0,7.0,2.0,8.0,7.0,8.0,3.0,2.0,9.0,7.0,2.0,7.0,8.0,8.0,6.0,5.0,2.0,3.0,3.0,1.0,1.0,6.0,8.0,6.0,6.0,4.0,32,22,0,0,9.025946,45.511597,100,1,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
37,5.0,7.0,4.0,2.0,2.0,7.0,5.0,3.0,2.0,3.0,4.0,6.0,3.0,3.0,3.0,7.0,7.0,7.0,6.0,4.0,5.0,5.0,4.0,7.0,5.0,2.0,3.0,5.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,8.0,6.0,7.0,6.0,7.0,29,30,0,0,13.708815,45.354583,60,0,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
38,4.0,2.0,6.0,7.0,5.0,4.0,2.0,7.0,3.0,4.0,4.0,3.0,5.0,6.0,4.0,8.0,4.0,1.0,7.0,4.0,4.0,3.0,9.0,1.0,8.0,6.0,4.0,3.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,6.0,8.0,4.0,5.0,5.0,25,29,0,0,9.936428,43.918421,30,0,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
39,5.0,4.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,3.0,5.0,4.0,5.0,6.0,6.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,3.0,2.0,3.0,3.0,2.0,2.0,6.0,7.0,7.0,7.0,5.0,30,32,0,0,13.763794,43.541191,30,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
40,7.0,7.0,8.0,6.0,5.0,4.0,2.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,2.0,8.0,6.0,4.0,1.0,7.0,3.0,5.0,7.0,2.0,8.0,3.0,5.0,6.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,6.0,8.0,8.0,8.0,7.0,22,28,1,48,14.804196,37.462544,30,0,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
41,7.0,3.0,7.0,7.0,4.0,4.0,3.0,4.0,7.0,6.0,6.0,7.0,6.0,4.0,5.0,7.0,2.0,7.0,6.0,4.0,4.0,3.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,8.0,8.0,7.0,6.0,28,23,1,94,11.42527,46.670068,60,1,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
42,9.0,7.0,8.0,7.0,7.0,8.0,2.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,4.0,9.0,7.0,8.0,7.0,8.0,8.0,2.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,7.0,6.0,6.0,7.0,27,27,1,61,11.823326,43.740692,20,1,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
43,5.0,4.0,6.0,6.0,8.0,2.0,3.0,2.0,7.0,6.0,8.0,7.0,8.0,6.0,7.0,7.0,6.0,2.0,4.0,6.0,4.0,5.0,7.0,6.0,8.0,3.0,4.0,8.0,3.0,8.0,2.0,2.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,6.0,23,29,1,74,17.47366,40.27067,40,0,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
44,8.0,6.0,6.0,7.0,5.0,6.0,3.0,4.0,7.0,6.0,6.0,6.0,8.0,5.0,4.0,8.0,6.0,6.0,7.0,5.0,6.0,3.0,4.0,7.0,6.0,6.0,6.0,8.0,6.0,4.0,2.0,2.0,3.0,2.0,2.0,5.0,8.0,6.0,7.0,5.0,27,24,0,0,9.391732,44.920478,50,1,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
45,7.0,8.0,6.0,5.0,3.0,2.0,6.0,8.0,5.0,8.0,5.0,7.0,7.0,6.0,3.0,7.0,8.0,5.0,5.0,3.0,2.0,6.0,8.0,5.0,8.0,5.0,7.0,8.0,6.0,3.0,2.0,2.0,2.0,3.0,2.0,6.0,7.0,7.0,5.0,6.0,26,27,0,0,11.669708,45.186128,0,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
46,7.0,6.0,6.0,6.0,6.0,3.0,3.0,2.0,7.0,2.0,6.0,5.0,7.0,7.0,4.0,6.0,6.0,3.0,1.0,6.0,6.0,4.0,5.0,4.0,2.0,7.0,6.0,8.0,4.0,6.0,2.0,2.0,2.0,3.0,2.0,7.0,6.0,8.0,5.0,4.0,34,21,0,0,15.982795,40.419698,10,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
47,6.0,2.0,4.0,8.0,7.0,4.0,6.0,6.0,7.0,6.0,5.0,8.0,8.0,7.0,4.0,6.0,2.0,3.0,8.0,8.0,4.0,6.0,6.0,7.0,6.0,5.0,8.0,8.0,7.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,8.0,7.0,6.0,24,26,1,30,13.09893,38.408605,60,1,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
48,4.0,2.0,6.0,6.0,7.0,2.0,4.0,8.0,4.0,6.0,8.0,8.0,6.0,6.0,3.0,7.0,3.0,8.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,6.0,5.0,8.0,4.0,2.0,2.0,3.0,3.0,2.0,6.0,8.0,5.0,5.0,5.0,22,21,0,0,15.669073,37.861481,40,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
49,7.0,7.0,5.0,7.0,6.0,5.0,7.0,8.0,7.0,8.0,6.0,7.0,7.0,7.0,4.0,3.0,2.0,2.0,6.0,8.0,2.0,3.0,5.0,4.0,6.0,3.0,2.0,5.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,8.0,8.0,6.0,8.0,24,26,1,89,12.395396,38.05893,50,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
50,2.0,3.0,2.0,7.0,7.0,2.0,3.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,2.0,2.0,2.0,6.0,8.0,2.0,3.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,6.0,6.0,6.0,27,25,1,7,10.739388,44.565551,50,1,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
51,9.0,3.0,2.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,8.0,4.0,2.0,6.0,8.0,5.0,3.0,6.0,6.0,3.0,2.0,6.0,6.0,6.0,2.0,2.0,3.0,3.0,2.0,7.0,7.0,7.0,7.0,5.0,24,26,0,0,10.928138,44.931387,90,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
52,2.0,3.0,7.0,6.0,7.0,8.0,2.0,3.0,8.0,5.0,7.0,5.0,8.0,2.0,7.0,2.0,2.0,7.0,6.0,8.0,8.0,2.0,3.0,8.0,5.0,7.0,5.0,9.0,2.0,7.0,2.0,2.0,3.0,2.0,2.0,6.0,8.0,6.0,8.0,8.0,26,28,0,0,16.819497,38.935455,30,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
53,8.0,5.0,3.0,7.0,5.0,6.0,4.0,5.0,7.0,3.0,6.0,6.0,6.0,3.0,3.0,8.0,5.0,3.0,6.0,5.0,6.0,4.0,5.0,7.0,3.0,6.0,6.0,6.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,7.0,6.0,6.0,6.0,27,24,0,0,10.130675,44.532678,30,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
54,3.0,8.0,7.0,7.0,7.0,2.0,2.0,3.0,8.0,6.0,6.0,8.0,7.0,3.0,2.0,4.0,6.0,3.0,6.0,3.0,4.0,3.0,8.0,2.0,8.0,7.0,6.0,4.0,7.0,2.0,2.0,1.0,5.0,2.0,2.0,6.0,8.0,6.0,8.0,8.0,32,28,1,54,9.128422,44.524185,70,0,2,"she,her","[0.0, 1.0, 0.0]",0,1,0,"she,her"
55,7.0,5.0,7.0,8.0,8.0,6.0,4.0,6.0,8.0,8.0,6.0,8.0,7.0,7.0,7.0,5.0,6.0,7.0,3.0,3.0,8.0,5.0,3.0,7.0,7.0,3.0,7.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,7.0,7.0,8.0,7.0,5.0,37,27,1,47,15.814552,40.624564,20,0,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
56,4.0,4.0,3.0,7.0,8.0,8.0,2.0,4.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,3.0,6.0,4.0,4.0,7.0,6.0,6.0,3.0,2.0,3.0,3.0,7.0,7.0,2.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,6.0,6.0,26,24,1,94,14.941431,37.334845,20,0,2,"she,her","[1.0, 1.0, 1.0]",1,1,1,"he,him,she,her,they,them"
57,2.0,2.0,6.0,8.0,6.0,2.0,2.0,6.0,4.0,5.0,7.0,7.0,4.0,6.0,8.0,7.0,2.0,3.0,6.0,6.0,2.0,4.0,7.0,4.0,3.0,2.0,6.0,8.0,7.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,7.0,4.0,5.0,6.0,27,30,1,95,11.415477,46.574058,30,0,2,"she,her","[1.0, 0.0, 0.0]",1,0,0,"he,him"
58,7.0,4.0,8.0,7.0,8.0,8.0,7.0,4.0,4.0,7.0,7.0,8.0,8.0,5.0,9.0,7.0,3.0,8.0,7.0,8.0,8.0,7.0,4.0,4.0,7.0,7.0,8.0,9.0,6.0,9.0,3.0,1.0,1.0,1.0,2.0,8.0,6.0,6.0,8.0,8.0,25,30,0,0,13.564737,45.900195,40,1,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
59,4.0,7.0,6.0,8.0,7.0,2.0,6.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,4.0,6.0,5.0,8.0,8.0,2.0,6.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,2.0,2.0,3.0,3.0,2.0,7.0,8.0,7.0,6.0,8.0,23,26,1,30,17.295347,40.506181,80,1,1,"he,him","[0.0, 1.0, 0.0]",0,1,0,"she,her"
60,3.0,2.0,2.0,8.0,8.0,2.0,3.0,3.0,8.0,6.0,6.0,8.0,8.0,5.0,4.0,3.0,6.0,7.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,7.0,7.0,6.0,7.0,8.0,2.0,2.0,3.0,2.0,2.0,5.0,8.0,7.0,7.0,7.0,25,32,1,89,8.687641,45.228188,20,0,1,"he,him","[1.0, 0.0, 0.0]",1,0,0,"he,him"
61,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,7.0,8.0,9.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,8.0,10.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,8.0,4.0,2.0,3.0,27,27,0,0,10.44400184670347,38.989944265350026,70,1,3,"they,them","[0.0, 1.0, 0.0]",0,1,0,"she,her"
